,Unnamed: 0,Topics,Description,Topic_URL,Popular_repository(most_starred),Repo_Username,Repo_URL,Number_Of_Stars,Forked_count,Total_commits,Last_commited
0,0,3D,3D modeling is the process of virtually developing the surface and structure of a 3D object.,https://github.com/topics/3d,three.js,mrdoob,https://github.com/mrdoob/three.js,73315,28717,37892,2021-08-07T10:36:49Z
1,1,Ajax,Ajax is a technique for creating interactive web applications.,https://github.com/topics/ajax,infinite-scroll,metafizzy,https://github.com/metafizzy/infinite-scroll,6931,1760,471,2021-01-03T19:57:17Z
2,2,Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,189290,50833,1735,2021-07-31T17:45:09Z
3,3,Amp,Amp is a non-blocking concurrency framework for PHP.,https://github.com/topics/amphp,amp,amphp,https://github.com/amphp/amp,3301,184,1385,2021-07-16T20:25:09Z
4,4,Android,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android,flutter,flutter,https://github.com/flutter/flutter,127040,18204,25370,2021-08-07T00:45:02Z
5,5,Angular,Angular is an open source web application platform.,https://github.com/topics/angular,free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,81897,23824,911,2021-01-08T06:33:08Z
6,6,Ansible,Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible,ansible,ansible,https://github.com/ansible/ansible,49301,20914,51783,2021-08-06T20:56:33Z
7,7,API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api,public-apis,public-apis,https://github.com/public-apis/public-apis,145687,16914,3081,2021-08-07T14:32:21Z
8,8,Arduino,Arduino is an open source hardware and software company and maker community.,https://github.com/topics/arduino,Tasmota,arendst,https://github.com/arendst/Tasmota,15652,3458,12628,2021-08-08T15:13:04Z
9,9,ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet,aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,9735,3454,6930,2021-08-03T11:53:11Z
10,10,Atom,Atom is a open source text editor built with web technologies.,https://github.com/topics/atom,atom,atom,https://github.com/atom/atom,55850,16326,38330,2021-08-06T17:35:32Z
11,11,Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome,awesome,sindresorhus,https://github.com/sindresorhus/awesome,166701,21285,1006,2021-07-29T13:20:51Z
12,12,Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws,serverless,serverless,https://github.com/serverless/serverless,40431,4865,14355,2021-08-06T11:51:47Z
13,13,Azure,Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure,devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,12320,2226,483,2021-07-22T17:45:30Z
14,14,Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel,babel,babel,https://github.com/babel/babel,39453,4962,14747,2021-08-07T17:37:03Z
15,15,Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash,the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,93452,10216,1191,2020-09-07T19:20:29Z
16,16,Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,56039,29573,30157,2021-08-07T14:28:50Z
17,17,Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap,bootstrap,twbs,https://github.com/twbs/bootstrap,152252,74326,21112,2021-08-05T15:06:46Z
18,18,Bot,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot,ccxt,ccxt,https://github.com/ccxt/ccxt,20556,5101,40514,2021-08-08T04:32:40Z
19,19,C,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c,scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,52791,5470,1223,2021-06-21T07:47:15Z
20,20,Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome,electron,electron,https://github.com/electron/electron,96129,12554,25451,2021-08-06T21:06:30Z
21,21,Chrome extension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.,https://github.com/topics/chrome-extension,bypass-paywalls-chrome,iamadamdev,https://github.com/iamadamdev/bypass-paywalls-chrome,17601,1212,587,2021-08-02T02:02:44Z
22,22,Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli,httpie,httpie,https://github.com/httpie/httpie,51584,3353,1389,2021-08-06T16:04:08Z
23,23,Clojure,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure,metabase,metabase,https://github.com/metabase/metabase,25684,3449,21214,2021-08-08T00:58:12Z
24,24,Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality,infer,facebook,https://github.com/facebook/infer,12483,1699,9922,2021-08-06T11:37:34Z
25,25,Code review,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review,octotree,ovity,https://github.com/ovity/octotree,21459,1821,710,2021-03-30T08:28:05Z
26,26,Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler,next.js,vercel,https://github.com/vercel/next.js,71360,13783,8877,2021-08-06T20:02:08Z
27,27,Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration,localstack,localstack,https://github.com/localstack/localstack,31677,2559,2258,2021-08-08T15:15:43Z
28,28,COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics/covid-19,COVID-19,CSSEGISandData,https://github.com/CSSEGISandData/COVID-19,27175,17398,3998,2021-08-08T07:41:33Z
29,29,C++,C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp,CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,136401,43757,3775,2021-07-29T17:59:53Z
30,30,Cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.,https://github.com/topics/cryptocurrency,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,56039,29573,30157,2021-08-07T14:28:50Z
